[2017-Aug-15 03:04:50.554541] 	 open 2

[2017-Aug-15 03:04:50.555597] 	 open 

[2017-Aug-15 03:04:50.555776] 	 Send: INPut:STARt

[2017-Aug-15 03:04:50.659516] 	 Receive: 0

[2017-Aug-15 03:04:51.160662] 	 Send: TABLe:COUPled OFF


[2017-Aug-15 03:04:51.164286] 	 Receive: 0

[2017-Aug-15 03:04:51.164989] 	 Send: GPRF


[2017-Aug-15 03:04:51.167705] 	 Receive: 0

[2017-Aug-15 03:04:51.168362] 	 Send: INPut:FREQuency 2440.00MHz


[2017-Aug-15 03:04:51.180838] 	 Receive: 0

[2017-Aug-15 03:04:51.181570] 	 Send: INPut:SRATe 160 MHz


[2017-Aug-15 03:04:51.184279] 	 Receive: 0

[2017-Aug-15 03:04:51.185162] 	 Send: CONFigure:GPRF:SPECtrum:RBW              [2017-Aug-15 03:04:51.185162] 	 Send: CONFigure:GPRF:SPE[2017-Aug-15 03:04:51.188425] 	 Receive: 0

[2017-Aug-15 03:04:51.189109] 	 Send: INPut:CAPTure:TIME?


[2017-Aug-15 03:04:51.192419] 	 Receive: 5

[2017-Aug-15 03:04:51.193141] 	 Send: INPut:LEVel:REFerence -10.00 dBm


[2017-Aug-15 03:04:51.196648] 	 Receive: 0

[2017-Aug-15 03:04:51.197293] 	 Send: ROUTe:RESource:MAP VSA,RF1,OFF,RF2,OFF,RF[2017-Aug-15 03[2017-Aug-15 03:04:51.204379] 	 Receive: 0

[2017-Aug-15 03:04:51.204862] 	 Send: OUTPut:POWer:LEVel -10.00 dBm


[2017-Aug-15 03:04:51.209937] 	 Receive: 0

[2017-Aug-15 03:04:51.210264] 	 Send: OUTPut:WAVeform:CWAV:OFFSet 0.000000MHz
[20[2017-Aug-15 03:04:51.213720] 	 Receive: 0

[2017-Aug-15 03:04:51.214684] 	 Send: INPut:STARt


[2017-Aug-15 03:04:51.216693] 	 Receive: 0

[2017-Aug-15 03:04:51.217004] 	 Send: OUTPut:LOOP:COUNt 0 


[2017-Aug-15 03:04:51.218660] 	 Receive: 0

[2017-Aug-15 03:04:51.218965] 	 Send: OUTPut:STOP


[2017-Aug-15 03:04:51.222778] 	 Receive: 0

[2017-Aug-15 03:04:51.223117] 	 Send: OUTPut:POWer:STATe OFF


[2017-Aug-15 03:04:51.225286] 	 Receive: 0

[2017-Aug-15 03:04:51.225612] 	 Send: OUTPut:MODulation:STATe OFF


[2017-Aug-15 03:04:51.228478] 	 Receive: 0

[2017-Aug-15 03:04:51.228829] 	 Send: CONFigure:RFCorrection:DISTribution OFF
[20[2017-Aug-15 03:04:51.230479] 	 Receive: 0

[2017-Aug-15 03:04:51.230666] 	 Send: TABLe:LOSS:PORT1:TX:LOAD 

